INFO 2026-01-07 18:32:21,393 autoreload Watching for file changes with StatReloader
INFO 2026-01-07 18:32:41,351 log "OPTIONS /api/proyectos/ HTTP/1.1" 200 0
INFO 2026-01-07 18:32:41,351 log "OPTIONS /api/proyectos/ HTTP/1.1" 200 0
INFO 2026-01-07 18:32:41,550 log "GET /api/proyectos/ HTTP/1.1" 200 181
INFO 2026-01-07 18:32:41,608 log "OPTIONS /api/gastos/?proyecto=1 HTTP/1.1" 200 0
INFO 2026-01-07 18:32:41,613 log "OPTIONS /api/gastos/resumen_mensual/?proyecto=1 HTTP/1.1" 200 0
INFO 2026-01-07 18:32:41,655 log "OPTIONS /api/categorias/ HTTP/1.1" 200 0
INFO 2026-01-07 18:32:41,776 log "GET /api/proyectos/ HTTP/1.1" 200 181
INFO 2026-01-07 18:32:41,888 log "GET /api/gastos/resumen_mensual/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:32:41,898 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:32:42,008 log "GET /api/gastos/resumen_mensual/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:32:42,020 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:32:42,064 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:32:42,170 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:32:51,123 log "OPTIONS /api/proveedores/ HTTP/1.1" 200 0
INFO 2026-01-07 18:32:51,125 log "OPTIONS /api/proveedores/ HTTP/1.1" 200 0
INFO 2026-01-07 18:32:51,220 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:32:51,235 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:32:51,239 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:32:51,323 log "GET /api/gastos/?proyecto=1 HTTP/1.1" 200 2
INFO 2026-01-07 18:32:51,364 log "GET /api/proveedores/ HTTP/1.1" 200 2
INFO 2026-01-07 18:32:51,378 log "GET /api/categorias/ HTTP/1.1" 200 463
INFO 2026-01-07 18:32:53,293 log "GET /api/proveedores/ HTTP/1.1" 200 2
